-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyNg==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxNA==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyMg==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyOQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyMQ==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxOQ==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxNw==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyNQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxNg==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyOA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxOA==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyMA==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxMw==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyMw==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyNw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUxNQ==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUyNA==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0OA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzMw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0Nw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzMA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0Mg==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1MA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1Nw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzNQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0Ng==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzNw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0OQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU2MQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1Mw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1Mg==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzNA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1OQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1NQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0MQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzNg==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzMg==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1Ng==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0NA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0NQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU2MA==, 12
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1NA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0MA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1MQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzMQ==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODUzOA==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU0Mw==, 21
-42.450~171.210, T3BlbnF1YWtlSGF6YXJkU29sdXRpb246MTMyODU1OA==, 21
